reaction_id,loopless_flux,standard_flux,delta
ETOHtex,0.0,0.0,0.0
ETOHtrpp,0.0,0.0,0.0
F1PP,0.0,0.0,0.0
F6PP,0.0,0.0,0.0
FA80ACPHi,0.0,0.0,0.0
FACOAE120,0.0,0.0,0.0
FACOAE140,0.0,0.0,0.0
FACOAE160,0.0,0.0,0.0
FACOAE161,0.0,0.0,0.0
FACOAE180,0.0,0.0,0.0
FACOAL100t2pp,0.0,0.0,0.0
FACOAL120t2pp,0.0,0.0,0.0
FACOAL140,0.0,0.0,0.0
FACOAL140_ISO,0.000178148061173505,0.00017814806117350565,-6.505213034913027e-19
FACOAL140t2pp,0.0,0.0,0.0
FACOAL141t2pp,0.0,0.0,0.0
FACOAL150_ISO,0.0035629612234701004,0.003562961223470114,-1.3444106938820255e-17
FACOAL150_anteiso,0.006057034079899169,0.006057034079899191,-2.168404344971009e-17
FACOAL160,0.0,0.0,0.0
FACOAL160_ISO,0.0008907403058675251,0.0008907403058675282,-3.144186300207963e-18
FACOAL160t2pp,0.0,0.0,0.0
FACOAL161,0.0,0.0,0.0
FACOAL161t2pp,0.0,0.0,0.0
FACOAL170_ISO,0.0012470364282145352,0.0012470364282145398,-4.553649124439119e-18
FACOAL170_anteiso,0.0030285170399495845,0.003028517039949596,-1.1275702593849246e-17
FACOAL180_2,0.0005344441835205149,0.000534444183520517,-2.0599841277224584e-18
FACOAL180t2pp,0.0,0.0,0.0
FACOAL181,0.0,0.0,0.0
FACOAL181t2pp,0.0,0.0,0.0
FACOAL60t2pp,0.0,0.0,0.0
FACOAL80t2pp,0.0,0.0,0.0
FADH2D,0.8329644141289312,0.8329644141289385,-7.327471962526033e-15
FADMQOR,4.453701529337626e-05,4.4537015293376426e-05,-1.6263032587282567e-19
FALDep,9.999999999999998,9.999999999999998,0.0
FAS140,0.0,0.0,0.0
FBA,0.0,0.0,0.0
FBA2,0.0,0.0,0.0
FBA3,1.783207416868424,1.7832074168684338,-9.769962616701378e-15
FBP,0.0,0.0,0.0
FCLT_2,0.0,0.0,0.0
FDH,0.0,0.0,0.0
FDMO,0.0,0.0,0.0
FDMO3,0.0,0.0,0.0
FDMO3_1,0.0,0.0,0.0
FDMO4,0.0,0.0,0.0
FDMO4_1,0.0,0.0,0.0
FDMO6,0.0,0.0,0.0
FE2Gabcpp,0.0,0.0,0.0
FE2abc,0.0,0.0,0.0
FE2abcpp,0.0,0.0,0.0
FE2t,0.0029906605769502164,0.002990660576950227,-1.0842021724855044e-17
FE2t3pp,0.0,0.0,0.0
FE2t4pp,0.0,0.0,0.0
FE2tex,0.0,0.0,0.0
FE3DCITexs,4.99884092417699,4.9988409241769896,8.881784197001252e-16
FE3Gabcpp,0.0,0.0,0.0
FE3PYOVDL2,-7.914164380724983,-7.914164380725031,4.796163466380676e-14
FE3abc,0.0,0.0,0.0
FE3abcpp,0.0,0.0,0.0
FE3t,0.003477450154106819,0.003477450154106831,-1.214306433183765e-17
FE3tex,0.0,0.0,0.0
